No.,Category,Question,ChatbotResponse
1,Installation Tracking,Are we behind on installation overall?,"We are not behind on installation overall, as there are no delayed installations out of a total of 28 installations."
2,Installation Tracking,Are we behind on installation for floor 3?,We are not behind on installation for floor 3.
3,Installation Tracking,How many days are we delayed on floor 2?,There are no days of delay for installations on floor 2.
4,Installation Tracking,Which rooms still have items not installed?,"The rooms that still have items not installed are rooms with IDs 122, 49, 358, and 338."
5,Installation Tracking,List all rooms where installation is complete.,"The rooms where installation is complete are rooms with IDs 338, 1, 358, and 122."
6,Installation Tracking,Show the latest installed_on date per floor.,"The latest `installed_on` date per floor is as follows:
- Floor 16: 2025-07-02
- Floor 23: 2025-07-02
- Floor 33: 2025-07-02
- Floor 34: 2025-07-02"
7,Installation Tracking,How many items have been installed so far?,28 items have been installed so far.
8,Installation Tracking,What products are most frequently installed?,"The most frequently installed products are:

1. Electrical self-contained outlets with 3 installations
2. Exec Coffee table with 2 installations
3. Ottoman with 2 installations
4. King Bed Base with 1 installation
5. SHEER CURTAIN with 1 installation"
9,Installation Tracking,How many products were installed yesterday?,0 products were installed yesterday.
10,Installation Tracking,Show install progress for each room on floor 4.,There is no installation data available for rooms on floor 4. It seems installations might not have started or data is not recorded for this floor.
11,Installation Tracking,How many products are still pending installation in floor 2?,There are 0 products still pending installation on floor 2.
12,Installation Tracking,Which rooms had installations in the last 7 days?,"Rooms 2309, 1607, 3326, and 3426 had installations in the last 7 days."
13,Installation Tracking,List all items installed in room 101.,There are no recorded installations for room 101.
14,Installation Tracking,What’s the installation timeline for floor 5?,"There is no recorded installation timeline for any rooms on floor 5. It seems that installations have not started for this floor, or the data has not been recorded."
15,Installation Tracking,Who installed the most products?,"The installer who installed the most products is Vipin, with a total of 28 installations."
16,Installation Tracking,What’s the earliest install_starts date across all floors?,"The earliest install_starts date across all floors is August 4, 2025."
17,Installation Tracking,Which room has the most installed products?,"Room 338 has the most installed products, with a total of 25 installations."
18,Installation Tracking,Show all products with status NO in install_detail.,"There are 89 products with a status of ""NO"" in the `install_detail` table. The details of these products include various furniture items and installations across different rooms, but none of them have been installed yet, as indicated by the `installed_on` column being `None`."
19,Installation Tracking,Which floors have installation status delayed?,"There are no floors with an installation status of ""delayed"" in the current dataset."
20,Installation Tracking,Are any floors finished before the planned install_end date?,No floors were finished before their planned install_end date according to the current dataset.
21,Inventory,Show current central inventory of item 'P123'.,The current central inventory for item 'P123' is 0.
22,Inventory,How many 'Chairs' are available in the hotel warehouse?,There are no 'Chairs' available in the hotel warehouse.
