"id","item","client_id","description","client_selected","supplier","image"
5,P097,P097,King Bathroom Mirror,"1",PK SPACES BRASIL ,""
2,P125,P125,Desk/Dining Chair,"1",PK SPACES BRASIL ,""
46,P041,P041,Lining of Internal Wall - Reeded (includes sides of the door and panels) -  C+,"1",PK SPACES BRASIL ,""
1,P123,P123,Custom Dining Chair,"1",PK SPACES BRASIL ,""
3,P093,P093,Custom Round Dining table - w/ Stone Top,"1",PK SPACES ASIA,""
7,P113,P113,Double Room center night stand ,"1",PK SPACES BRASIL ,""
10,P118,P118,Wood Cladding on Bed Backrest/King Headboard,"1",PK SPACES BRASIL ,""
9,P115,P115,Exec King Night Stand 06/07,"1",PK SPACES BRASIL ,""
8,P114,P114,Double Room night stand ,"1",PK SPACES BRASIL ,""
15,P002,P002,Exec Coffee table,"1",PK SPACES ASIA,""
6,P094,P094,Side table,"1",PK SPACES ASIA,""
48,P043,P043,"Lining of Internal Wall - Reeded (includes sides of the door and panels) - CURVA, CURVA DIS, PRES, SUITEs A,B,C & CURVA 35","1",PK SPACES BRASIL ,""
30,P008,P008,Throw Pillow 36x12 BED PILLOW KING - COVER ONLY - Richloom YIPPIE-CAFE ,"1","Kannoawww.kannoa.comsales@kannoa.com7300 NW 35th Ave., Miami, Florida, 33147, United States",""
47,P042,P042,Lining of Internal Wall - Reeded (includes sides of the door and panels) -  CURVA 24,"1",PK SPACES BRASIL ,""
28,P007,P007,Throw Pillow 16x16 - COVER ONLY - Richloom Elysium Copper,"1","Kannoawww.kannoa.comsales@kannoa.com7300 NW 35th Ave., Miami, Florida, 33147, United States",""
44,P039,P039,Lining of Internal Wall - Reeded (includes sides of the door and panels) -  B,"1",PK SPACES BRASIL ,""
31,P009,P009,BLACKOUT CURTAIN,"1","DistriHogarwww.distrwww.distrihogar.com.coihogar.com.comisaza@distrihogar.com.coCalle 79 Sur, Itagüi, Antioquia, 055460, Colombia",""
40,P035,P035,"Lining of Internal Wall - Reeded (includes sides of the door and panels) -  A, DLX","1",PK SPACES BRASIL ,""
25,P098,P098,Wood Bench with cushion,"1",PK SPACES BRASIL ,""
34,P117,P117,Double Bed Base ,"1",PK SPACES ASIA,""
45,P040,P040,Lining of Internal Wall - Reeded (includes sides of the door and panels) -  C PN,"1",PK SPACES BRASIL ,""
33,P116,P116,King Bed Base ,"1",PK SPACES ASIA,""
12,P120,P120,"Straight Sofa SUITE A, B, C, Curva Dis","1",PK SPACES BRASIL ,""
18,P099,P099,"Executive King Desk - CURVA, CURVA 24","1",PK SPACES BRASIL ,""
65,P071,P071,Beam and Column Covering SUITE B,"1",PK SPACES BRASIL ,""
22,P108,P108,Desk - B,"1",PK SPACES BRASIL ,""
14,P124,P124,Armchair - King Room,"1",PK SPACES ASIA,""
37,P015,P015,Door Wood Wall Cladding (rooms),"1",PK SPACES BRASIL ,""
13,P122,P122,Sofa ,"1",PK SPACES BRASIL ,""
11,P119,P119,Wood Cladding on Bed Backrest/Double Headboard,"1",PK SPACES BRASIL ,""
23,P110,P110,Desk - D,"1",PK SPACES BRASIL ,""
24,P112,P112,Desk - STC,"1",PK SPACES BRASIL ,""
69,P103,P103,Shelf at Executive King - CURVA 24,"1",PK SPACES BRASIL ,""
19,P105,P105,"Desk - A, A LO, C PN, CURVA DIS","1",PK SPACES BRASIL ,""
