"id","product_id","room_model_id","quantity"
369,1,9,4
370,1,13,4
371,1,15,4
372,1,16,4
373,1,17,4
374,1,18,4
375,1,19,4
376,2,1,1
377,2,2,1
378,2,3,1
379,2,4,1
380,2,5,1
381,2,6,1
382,2,7,1
383,2,8,1
384,2,9,1
385,2,10,1
386,2,11,1
387,2,12,1
388,2,13,1
389,2,15,1
390,2,16,1
391,2,17,1
392,2,18,1
393,2,19,1
394,3,9,1
395,3,13,1
396,3,15,1
397,3,16,1
398,3,17,1
399,3,18,1
400,3,19,1
401,4,9,1
402,4,10,1
403,4,13,1
404,4,15,1
405,4,16,1
406,4,17,1
407,4,18,1
408,4,19,1
409,5,1,1
410,5,2,1
411,5,3,1
412,5,4,1
413,5,5,1
414,5,6,1
415,5,7,1
416,5,8,1
417,5,9,1
418,5,10,1
419,5,11,1
420,5,12,1
421,5,13,1
422,5,15,1
423,5,16,1
424,5,17,1
425,5,18,1
426,5,19,1
427,6,1,1
428,6,2,1
429,6,3,1
430,6,4,1
431,6,5,1
432,6,6,1
433,6,7,1
434,6,8,1
435,6,11,1
436,6,12,1
437,6,13,1
438,6,15,1
439,6,16,1
440,6,17,1
441,6,18,1
442,7,1,1
443,7,3,1
444,7,4,1
445,7,17,1
446,8,1,2
447,8,3,2
448,8,4,2
449,8,17,2
450,9,2,2
451,9,5,2
452,9,6,2
453,9,7,2
454,9,8,2
455,9,9,2
456,9,10,2
457,9,11,2
458,9,12,2
459,9,13,2
460,9,15,2
461,9,16,2
462,9,18,2
463,9,19,2
464,10,2,1
465,10,5,1
466,10,6,1
467,10,7,1
468,10,8,1
469,10,9,1
470,10,10,1
471,10,11,1
472,10,12,1
473,10,13,1
474,10,15,1
475,10,16,1
476,10,18,1
477,10,19,1
478,11,1,2
479,11,3,2
480,11,4,2
481,11,17,2
482,12,10,1
483,12,15,1
484,12,16,1
485,12,17,1
486,12,18,1
487,13,9,1
488,13,13,1
489,13,19,1
490,14,1,1
491,14,2,1
492,14,3,1
493,14,4,1
494,14,5,1
495,14,6,1
496,14,7,1
497,14,11,1
498,14,12,1
499,14,15,1
500,14,16,1
501,14,17,1
502,14,18,1
503,15,9,1
504,15,10,1
505,15,13,1
506,15,15,1
507,15,16,1
508,15,17,1
509,15,18,1
510,15,19,1
511,16,1,1
512,16,2,1
513,16,3,1
514,16,4,1
515,16,5,1
516,16,6,1
517,16,7,1
518,16,8,1
519,16,10,1
520,16,11,1
521,16,12,1
522,16,13,1
523,16,15,1
524,16,16,1
525,16,17,1
526,16,18,1
527,16,19,1
528,17,9,1
529,18,8,1
530,18,9,1
531,19,1,1
532,19,3,1
533,19,6,1
534,19,10,1
535,20,2,1
536,20,7,1
537,21,4,1
538,21,12,1
539,21,13,1
540,21,15,1
541,21,16,1
542,21,17,1
543,21,18,1
544,21,19,1
545,22,5,1
546,23,11,1
547,25,1,1
548,25,2,1
549,25,3,1
550,25,4,1
551,25,5,1
552,25,6,1
553,25,7,1
554,25,8,1
555,25,9,1
556,25,10,1
557,25,11,1
558,25,12,1
559,25,13,1
560,25,15,1
561,25,16,1
562,25,17,1
563,25,18,1
564,25,19,1
565,26,1,3
566,26,2,3
567,26,3,3
568,26,4,3
569,26,5,3
570,26,6,3
571,26,7,3
572,26,8,3
573,26,9,3
574,26,10,3
575,26,11,3
576,26,12,3
577,26,13,3
578,26,15,3
579,26,16,3
580,26,17,3
581,26,18,3
582,26,19,3
583,28,8,1
584,28,9,1
585,28,10,1
586,28,13,1
587,28,15,1
588,28,16,1
589,28,17,1
590,28,18,1
591,28,19,1
592,29,1,2
593,29,3,2
594,29,4,2
595,29,17,2
596,30,2,1
597,30,5,1
598,30,6,1
599,30,7,1
600,30,8,1
601,30,9,1
602,30,10,1
603,30,11,1
604,30,12,1
605,30,13,1
606,30,15,1
607,30,16,1
608,30,18,1
609,30,19,1
610,31,1,1
611,31,2,1
612,31,3,1
613,31,4,1
614,31,5,1
615,31,6,1
616,31,7,1
617,31,8,1
618,31,9,1
619,31,10,1
620,31,11,1
621,31,12,1
622,31,13,1
623,31,15,1
624,31,16,1
625,31,17,1
626,31,18,1
627,31,19,1
628,32,1,1
629,32,2,1
630,32,3,1
631,32,4,1
632,32,5,1
633,32,6,1
634,32,7,1
635,32,8,1
636,32,9,1
637,32,10,1
638,32,11,1
639,32,12,1
640,32,13,1
641,32,15,1
642,32,16,1
643,32,17,1
644,32,18,1
645,32,19,1
646,33,2,1
647,33,5,1
648,33,6,1
649,33,7,1
650,33,8,1
651,33,9,1
652,33,10,1
653,33,11,1
654,33,12,1
655,33,13,1
656,33,15,1
657,33,16,1
658,33,18,1
659,33,19,1
660,34,1,2
661,34,3,2
662,34,4,2
663,34,17,2
664,35,1,2
665,35,2,2
666,35,3,2
667,35,4,2
668,35,5,2
669,35,6,2
670,35,7,2
671,35,11,2
672,35,12,2
673,36,1,1
674,36,2,1
675,36,3,1
676,36,4,1
677,36,5,1
678,36,6,1
679,36,7,1
680,36,11,1
681,36,12,1
682,37,1,1
683,37,2,1
684,37,4,1
685,37,5,1
686,37,6,1
687,37,7,1
688,37,8,1
689,37,9,1
690,37,10,1
691,37,11,1
692,37,12,1
693,37,13,1
694,37,16,1
695,37,17,1
696,37,18,1
697,37,19,1
698,38,3,1
699,38,15,1
700,40,1,1
701,40,12,1
702,41,2,1
703,42,3,1
704,43,4,1
705,44,5,1
706,45,6,1
707,46,7,1
708,47,8,1
709,48,9,1
710,48,10,1
711,48,13,1
712,48,15,1
713,48,16,1
714,48,17,1
715,48,19,1
716,49,11,1
717,51,18,1
718,52,1,1
719,52,2,1
720,52,3,1
721,52,4,1
722,52,5,1
723,52,6,1
724,52,7,1
725,52,8,1
726,52,9,1
727,52,10,1
728,52,11,1
729,52,12,1
730,52,13,1
731,52,15,1
732,52,16,1
733,52,17,1
734,52,18,1
735,52,19,1
736,53,8,1
737,53,9,1
738,53,10,1
739,54,1,1
740,55,2,1
741,56,3,1
742,56,6,1
743,57,4,1
744,58,5,1
745,59,7,1
746,60,11,1
747,61,12,1
748,62,13,1
749,62,17,1
750,62,18,1
751,62,19,1
752,64,15,1
753,65,16,1
754,66,1,1
755,66,2,1
756,66,3,1
757,66,4,1
758,66,5,1
759,66,7,1
760,66,12,1
761,66,15,1
762,66,16,1
763,66,17,1
764,66,18,1
765,67,1,1
766,67,2,1
767,67,3,1
768,67,4,1
769,67,5,1
770,67,6,1
771,67,7,1
772,67,9,1
773,67,10,1
774,67,11,1
775,67,12,1
776,67,13,1
777,67,15,1
778,67,16,1
779,67,17,1
780,67,18,1
781,67,19,1
782,69,8,1
783,70,9,1
784,70,13,1
785,70,15,1
786,70,16,1
787,70,17,1
788,70,18,1
789,70,19,1
792,5,20,100
794,75,17,1
795,75,18,1
796,75,19,1
797,76,13,1
798,76,15,1
799,76,16,1
800,76,17,1
801,76,19,1
802,77,8,2
803,77,9,2
804,77,13,2
805,77,10,2
806,78,13,1
807,79,13,1
808,80,13,1
809,81,13,1
