"id","phase","floor","production_starts","production_ends","shipping_depature","shipping_arrival","custom_clearing_starts","custom_clearing_ends","arrive_on_site","pre_work_starts","pre_work_ends","install_starts","install_ends","post_work_starts","post_work_ends","floor_completed","floor_closes","floor_opens"
43,1,34,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-07-14 05:30:00.000 +0530,2025-07-31 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-07-14 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530
44,1,33,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-07-14 05:30:00.000 +0530,2025-07-31 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-07-14 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530
45,1,32,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-01 05:30:00.000 +0530,2025-08-15 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-09-01 05:30:00.000 +0530,2025-09-01 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-08-01 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530
46,1,31,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-01 05:30:00.000 +0530,2025-08-15 05:30:00.000 +0530,2025-08-18 05:30:00.000 +0530,2025-09-01 05:30:00.000 +0530,2025-09-01 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-08-01 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530
47,1,30,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-15 05:30:00.000 +0530,2025-09-15 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530
48,1,29,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-15 05:30:00.000 +0530,2025-09-15 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-08-25 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530
49,1,28,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530
50,1,27,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530,2025-09-08 05:30:00.000 +0530,2025-10-13 05:30:00.000 +0530
51,1,26,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-20 05:30:00.000 +0530,2025-10-20 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530
52,2,25,2025-03-11 05:30:00.000 +0530,2025-06-19 05:30:00.000 +0530,2025-06-20 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-08-04 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-06 05:30:00.000 +0530,2025-10-20 05:30:00.000 +0530,2025-10-20 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530,2025-09-22 05:30:00.000 +0530,2025-10-27 05:30:00.000 +0530
